cf,twosigdown,onesigdown,exp,onesigup,twosigup
-3.00,0.4217,0.5877,0.8750,1.3445,2.0149
-2.00,0.8251,1.1506,1.7139,2.6361,3.9528
-1.50,1.2860,1.7936,2.6738,4.1140,6.1714
-1.25,1.6805,2.3438,3.4941,5.3779,8.0707
-1.00,2.2644,3.1587,4.7129,7.2560,10.8938
-0.75,3.2446,4.5301,6.7598,10.4141,15.6482
-0.50,4.9672,6.9366,10.3594,15.9804,24.0213
-0.25,8.4649,11.8231,17.6719,27.2959,41.0977
0.00,16.9228,23.6669,35.4375,54.8071,82.6541
0.25,42.4996,59.4036,88.9062,137.5012,207.2343
0.50,77.3027,107.0520,158.0000,240.3457,356.2969
0.75,35.6728,49.2326,72.4062,109.6375,161.8306
1.00,14.9487,20.6904,30.5234,46.4011,68.7706
1.25,7.7094,10.6859,15.8047,24.0811,35.7777
1.50,4.6229,6.4122,9.4961,14.4925,21.5650
2.00,2.1569,2.9950,4.4395,6.7864,10.1135
3.00,0.7998,1.1121,1.6504,2.5270,3.7716
