cf,twosigdown,onesigdown,exp,onesigup,twosigup
-3.0,0.3208,0.4476,0.6670,1.0262,1.5395
-2.0,0.5677,0.7923,1.1816,1.8199,2.7316
-1.5,0.8088,1.1288,1.6851,2.5960,3.9007
-1.25,0.9928,1.3856,2.0684,3.1886,4.7921
-1.0,1.2404,1.7322,2.5869,3.9893,5.9979
-0.75,1.5984,2.2334,3.3369,5.1475,7.7449
-0.5,2.1284,2.9716,4.4434,6.8610,10.3259
-0.25,2.9195,4.0838,6.1074,9.4396,14.2197
0.0,4.1715,5.8330,8.7266,13.4877,20.3241
0.25,6.5438,9.1516,13.7031,21.2067,31.9975
0.5,10.6510,14.8874,22.2812,34.4599,51.9361
0.75,16.8074,23.4152,34.8750,53.6244,80.4259
1.0,19.4404,26.9119,39.7344,60.4231,89.5630
1.25,14.3441,19.7931,29.0859,43.9984,64.8984
1.5,8.9605,12.3666,18.1875,27.5395,40.6497
2.0,3.7487,5.1885,7.6543,11.6321,17.2321
3.0,1.1519,1.5984,2.3662,3.6124,5.3741
