,alpha,ratio,twosigdown,onesigdown,exp,onesigup,twosigup,obs,twosigdownSM,onesigdownSM,expSM,onesigupSM,twosigupSM
1,-0.973,-6.0,0.178018206114,0.245064024001,0.335229089436,0.471632649965,0.651962780834,0.605724285739,0.261675203364,0.350705113744,0.521801417143,0.702448281703,0.882413128461
2,-0.9412,-4.0,0.17621741641,0.239406489971,0.337305054644,0.474363045185,0.650580461595,0.625660826951,0.214203839477,0.364262759406,0.519593962037,0.667578322383,1.023369296
3,-0.9,-3.0,0.17938217116,0.239176228213,0.33528963844,0.473037429133,0.650205005588,0.639132032059,0.252137365188,0.340477547997,0.474122580539,0.614612039478,0.846453530026
4,-0.8621,-2.5,0.177221319084,0.236962054065,0.33357625705,0.473066585619,0.648572859679,0.648572859679,0.217665224985,0.33614024936,0.500210031523,0.700838856767,1.00698296867
5,-0.8,-2.0,0.174901671566,0.235077392875,0.330369824069,0.471348072008,0.644374579454,0.655625564175,0.227099421891,0.336740267994,0.501456388998,0.693169759248,0.880899258091
6,-0.6923,-1.5,0.170885673584,0.230031308987,0.325254859278,0.464030265903,0.642482151816,0.65964453588,0.227155225593,0.347076000177,0.517131235822,0.668317076085,1.01191630943
7,-0.64,-1.333,0.169476305158,0.228411836882,0.325025059286,0.463640843479,0.641913496656,0.658699860791,0.215823529839,0.342081178094,0.48721432314,0.644735658312,1.1432393611
8,-0.6098,-1.25,0.167619180403,0.226484278681,0.32138392331,0.461034051491,0.6365235931,0.65337006874,0.230530034607,0.30789243305,0.463819248738,0.646882549511,1.09947645166
9,-0.5,-1.0,0.162919989507,0.221606699624,0.314741887087,0.456486717195,0.634455719357,0.637785146936,0.191259189208,0.290979540497,0.399199254508,0.60446423573,0.793557965241
10,-0.4098,-0.833,0.159174114021,0.217190531931,0.312276742447,0.450436770214,0.631771806658,0.614569264138,0.226687684621,0.301789262996,0.432114375907,0.6296467867,0.855236207038
11,-0.36,-0.75,0.156687334008,0.213752293622,0.307349357057,0.445785263696,0.623356442483,0.593025144113,0.228655578538,0.307986987052,0.431505861705,0.627854951344,0.982242682594
12,-0.3077,-0.667,0.1534119518,0.209315236722,0.300963279062,0.438915307513,0.615668712213,0.565525006578,0.187886570417,0.275747436762,0.372594257248,0.544883988001,1.04859203636
13,-0.2,-0.5,0.146553969454,0.201665104376,0.291973735388,0.428152531668,0.602336442585,0.497264572325,0.17200475268,0.248026138053,0.34824324538,0.550371327915,0.748910864889
14,-0.1,-0.333,0.138976912605,0.191642844735,0.277967353577,0.409814816854,0.581611547426,0.408624320571,0.153238516933,0.215559644481,0.304216443767,0.4768451689,0.797524282282
