cv,ct,ttHww,ttHzz,ttHtt,tHqww,tHqzz,tHqtt,tHWww,tHWzz,tHWtt
0.5,-6.0,10.9743,10.9743,43.8972,33.9336,33.9336,135.7343,35.9956,35.9956,143.9822
0.5,-4.0,4.8775,4.8775,19.5099,16.2921,16.2921,65.1684,16.9544,16.9544,67.8176
0.5,-3.0,2.7436,2.7436,10.9743,9.8793,9.8793,39.5172,10.0968,10.0968,40.3874
0.5,-2.5,1.9053,1.9053,7.6210,7.2749,7.2749,29.0996,7.3338,7.3338,29.3353
0.5,-2.0,1.2194,1.2194,4.8775,5.0718,5.0718,20.2872,5.0146,5.0146,20.0585
0.5,-1.5,0.6859,0.6859,2.7436,3.2700,3.2700,13.0801,3.1393,3.1393,12.5571
0.5,-1.333,0.5417,0.5417,2.1667,2.7577,2.7577,11.0306,2.6118,2.6118,10.4471
0.5,-1.25,0.4763,0.4763,1.9053,2.5196,2.5196,10.0786,2.3680,2.3680,9.4721
0.5,-1.0,0.3048,0.3048,1.2194,1.8696,1.8696,7.4784,1.7078,1.7078,6.8310
0.5,-0.833,0.2115,0.2115,0.8461,1.4913,1.4913,5.9650,1.3285,1.3285,5.3140
0.5,-0.75,0.1715,0.1715,0.6859,1.3199,1.3199,5.2795,1.1584,1.1584,4.6337
0.5,-0.667,0.1356,0.1356,0.5425,1.1595,1.1595,4.6382,1.0006,1.0006,4.0024
0.5,-0.5,0.0762,0.0762,0.3048,0.8705,0.8705,3.4819,0.7201,0.7201,2.8803
0.5,-0.333,0.0338,0.0338,0.1352,0.6262,0.6262,2.5047,0.4891,0.4891,1.9562
0.5,-0.25,0.0191,0.0191,0.0762,0.5214,0.5214,2.0856,0.3927,0.3927,1.5707
0.5,-0.167,0.0085,0.0085,0.0340,0.4277,0.4277,1.7108,0.3085,0.3085,1.2340
0.5,0.0,0.0000,0.0000,0.0000,0.2727,0.2727,1.0907,0.1762,0.1762,0.7049
0.5,0.167,0.0085,0.0085,0.0340,0.1624,0.1624,0.6497,0.0935,0.0935,0.3738
0.5,0.25,0.0191,0.0191,0.0762,0.1243,0.1243,0.4971,0.0707,0.0707,0.2829
0.5,0.333,0.0338,0.0338,0.1352,0.0972,0.0972,0.3888,0.0603,0.0603,0.2410
0.5,0.5,0.0762,0.0762,0.3048,0.0762,0.0762,0.3048,0.0762,0.0762,0.3048
0.5,0.667,0.1356,0.1356,0.5425,0.1000,0.1000,0.4000,0.1417,0.1417,0.5667
0.5,0.75,0.1715,0.1715,0.6859,0.1285,0.1285,0.5139,0.1926,0.1926,0.7706
0.5,0.833,0.2115,0.2115,0.8461,0.1680,0.1680,0.6720,0.2558,0.2558,1.0233
0.5,1.0,0.3048,0.3048,1.2194,0.2811,0.2811,1.1243,0.4200,0.4200,1.6801
0.5,1.25,0.4763,0.4763,1.9053,0.5340,0.5340,2.1359,0.7584,0.7584,3.0335
0.5,1.333,0.5417,0.5417,2.1667,0.6401,0.6401,2.5606,0.8953,0.8953,3.5810
0.5,1.5,0.6859,0.6859,2.7436,0.8872,0.8872,3.5490,1.2077,1.2077,4.8308
0.5,2.0,1.2194,1.2194,4.8775,1.8947,1.8947,7.5790,2.4392,2.4392,9.7568
0.5,2.5,1.9053,1.9053,7.6210,3.3036,3.3036,13.2143,4.1145,4.1145,16.4581
0.5,3.0,2.7436,2.7436,10.9743,5.1137,5.1137,20.4549,6.2337,6.2337,24.9347
0.5,4.0,4.8775,4.8775,19.5099,9.9380,9.9380,39.7519,11.8035,11.8035,47.2141
0.5,6.0,10.9743,10.9743,43.8972,24.4024,24.4024,97.6096,28.2692,28.2692,113.0770
1.0,-6.0,36.0000,36.0000,36.0000,129.6320,129.6320,129.6320,132.4865,132.4865,132.4865
1.0,-4.0,16.0000,16.0000,16.0000,66.5500,66.5500,66.5500,65.7998,65.7998,65.7998
1.0,-3.0,9.0000,9.0000,9.0000,42.9080,42.9080,42.9080,41.1922,41.1922,41.1922
1.0,-2.5,6.2500,6.2500,6.2500,33.0618,33.0618,33.0618,31.0723,31.0723,31.0723
1.0,-2.0,4.0000,4.0000,4.0000,24.5320,24.5320,24.5320,22.4084,22.4084,22.4084
1.0,-1.5,2.2500,2.2500,2.2500,17.3188,17.3188,17.3188,15.2005,15.2005,15.2005
1.0,-1.333,1.7769,1.7769,1.7769,15.2028,15.2028,15.2028,13.1173,13.1173,13.1173
1.0,-1.25,1.5625,1.5625,1.5625,14.2058,14.2058,14.2058,12.1425,12.1425,12.1425
1.0,-1.0,1.0000,1.0000,1.0000,11.4220,11.4220,11.4220,9.4484,9.4484,9.4484
1.0,-0.833,0.6939,0.6939,0.6939,9.7458,9.7458,9.7458,7.8516,7.8516,7.8516
1.0,-0.75,0.5625,0.5625,0.5625,8.9673,8.9673,8.9673,7.1184,7.1184,7.1184
1.0,-0.667,0.4449,0.4449,0.4449,8.2251,8.2251,8.2251,6.4253,6.4253,6.4253
1.0,-0.5,0.2500,0.2500,0.2500,6.8418,6.8418,6.8418,5.1524,5.1524,5.1524
1.0,-0.333,0.1109,0.1109,0.1109,5.6052,5.6052,5.6052,4.0419,4.0419,4.0419
