cv,ct,ttHww,ttHzz,ttHtt,ttHbb,tHqww,tHqzz,tHqtt,tHqbb,tHWww,tHWzz,tHWtt,tHWbb
0.5,-6.0,2.9775,2.9775,428.7530,11.9098,9.2066,9.2066,1325.7460,36.8263,9.7660,9.7660,1406.3049,39.0640
0.5,-4.0,2.2675,2.2675,145.1182,9.0699,7.5740,7.5740,484.7357,30.2960,7.8819,7.8819,504.4411,31.5276
0.5,-3.0,1.7000,1.7000,61.1988,6.7999,6.1214,6.1214,220.3702,24.4856,6.2562,6.2562,225.2227,25.0247
0.5,-2.5,1.3581,1.3581,33.9529,5.4325,5.1857,5.1857,129.6430,20.7429,5.2277,5.2277,130.6931,20.9109
0.5,-2.0,0.9912,0.9912,15.8589,3.9647,4.1227,4.1227,65.9633,16.4908,4.0762,4.0762,65.2197,16.3049
0.5,-1.5,0.6259,0.6259,5.6327,2.5034,2.9838,2.9838,26.8544,11.9353,2.8645,2.8645,25.7805,11.4580
0.5,-1.333,0.5112,0.5112,3.6333,2.0448,2.6025,2.6025,18.4974,10.4100,2.4648,2.4648,17.5190,9.8593
0.5,-1.25,0.4566,0.4566,2.8538,1.8264,2.4154,2.4154,15.0962,9.6616,2.2700,2.2700,14.1878,9.0802
0.5,-1.0,0.3048,0.3048,1.2194,1.2194,1.8696,1.8696,7.4784,7.4784,1.7078,1.7078,6.8310,6.8310
0.5,-0.833,0.2166,0.2166,0.6012,0.8665,1.5271,1.5271,4.2386,6.1085,1.3605,1.3605,3.7760,5.4418
0.5,-0.75,0.1774,0.1774,0.3992,0.7097,1.3657,1.3657,3.0729,5.4629,1.1987,1.1987,2.6970,4.7947
0.5,-0.667,0.1417,0.1417,0.2521,0.5666,1.2111,1.2111,2.1553,4.8445,1.0451,1.0451,1.8598,4.1804
0.5,-0.5,0.0809,0.0809,0.0809,0.3235,0.9236,0.9236,0.9236,3.6945,0.7640,0.7640,0.7640,3.0562
0.5,-0.333,0.0363,0.0363,0.0161,0.1451,0.6720,0.6720,0.2981,2.6881,0.5249,0.5249,0.2328,2.0995
0.5,-0.25,0.0205,0.0205,0.0051,0.0821,0.5618,0.5618,0.1405,2.2473,0.4231,0.4231,0.1058,1.6924
0.5,-0.167,0.0092,0.0092,0.0010,0.0367,0.4622,0.4622,0.0516,1.8487,0.3334,0.3334,0.0372,1.3335
0.5,0.0,0.0000,0.0000,0.0000,0.0000,0.2953,0.2953,0.0000,1.1814,0.1909,0.1909,0.0000,0.7635
0.5,0.167,0.0092,0.0092,0.0010,0.0367,0.1755,0.1755,0.0196,0.7021,0.1010,0.1010,0.0113,0.4039
0.5,0.25,0.0205,0.0205,0.0051,0.0821,0.1339,0.1339,0.0335,0.5357,0.0762,0.0762,0.0191,0.3049
0.5,0.333,0.0363,0.0363,0.0161,0.1451,0.1043,0.1043,0.0463,0.4172,0.0647,0.0647,0.0287,0.2586
0.5,0.5,0.0809,0.0809,0.0809,0.3235,0.0809,0.0809,0.0809,0.3235,0.0809,0.0809,0.0809,0.3235
0.5,0.667,0.1417,0.1417,0.2521,0.5666,0.1044,0.1044,0.1859,0.4178,0.1480,0.1480,0.2634,0.5919
0.5,0.75,0.1774,0.1774,0.3992,0.7097,0.1329,0.1329,0.2991,0.5317,0.1993,0.1993,0.4485,0.7973
0.5,0.833,0.2166,0.2166,0.6012,0.8665,0.1720,0.1720,0.4775,0.6882,0.2620,0.2620,0.7272,1.0479
0.5,1.0,0.3048,0.3048,1.2194,1.2194,0.2811,0.2811,1.1243,1.1243,0.4200,0.4200,1.6801,1.6801
0.5,1.25,0.4566,0.4566,2.8538,1.8264,0.5119,0.5119,3.1993,2.0476,0.7270,0.7270,4.5438,2.9080
0.5,1.333,0.5112,0.5112,3.6333,2.0448,0.6041,0.6041,4.2939,2.4165,0.8449,0.8449,6.0051,3.3795
0.5,1.5,0.6259,0.6259,5.6327,2.5034,0.8096,0.8096,7.2863,3.2383,1.1020,1.1020,9.9179,4.4080
0.5,2.0,0.9912,0.9912,15.8589,3.9647,1.5402,1.5402,24.6428,6.1607,1.9827,1.9827,31.7238,7.9310
0.5,2.5,1.3581,1.3581,33.9529,5.4325,2.3549,2.3549,58.8716,9.4195,2.9329,2.9329,73.3233,11.7317
0.5,3.0,1.7000,1.7000,61.1988,6.7999,3.1686,3.1686,114.0678,12.6742,3.8625,3.8625,139.0502,15.4500
0.5,4.0,2.2675,2.2675,145.1182,9.0699,4.6200,4.6200,295.6829,18.4802,5.4873,5.4873,351.1881,21.9493
0.5,6.0,2.9775,2.9775,428.7530,11.9098,6.6207,6.6207,953.3740,26.4826,7.6698,7.6698,1104.4467,30.6791
1.0,-6.0,11.2408,11.2408,404.6686,11.2408,40.4768,40.4768,1457.1666,40.4768,41.3681,41.3681,1489.2533,41.3681
1.0,-4.0,8.2305,8.2305,131.6886,8.2305,34.2339,34.2339,547.7422,34.2339,33.8480,33.8480,541.5676,33.8480
1.0,-3.0,5.9862,5.9862,53.8759,5.9862,28.5396,28.5396,256.8562,28.5396,27.3983,27.3983,246.5850,27.3983
1.0,-2.5,4.6979,4.6979,29.3616,4.6979,24.8511,24.8511,155.3195,24.8511,23.3557,23.3557,145.9734,23.3557
