cf,cv,xsec,scaleup,scaledn,pdfup,pdfdn,tot
-3.0,1.0,2.991,2.1,-3.1,0.9,-0.9,4.8e-03
-2.0,1.0,1.706,2.6,-3.2,0.9,-0.9,2.9e-03
-1.5,1.0,1.205,2.5,-3.6,0.9,-0.9,2.3e-03
-1.25,1.0,0.9869,2.6,-3.4,0.9,-0.9,1.9e-03
-1.0,1.0,0.7927,2.7,-3.9,0.9,-0.9,1.4e-03
-0.75,1.0,0.6212,2.9,-4.1,0.9,-0.9,1.1e-03
-0.5,1.0,0.4723,3.2,-4.4,0.9,-0.9,9.1e-04
-0.25,1.0,0.3505,3.5,-5.0,0.9,-0.9,6.1e-04
0.0,1.0,0.2482,3.9,-5.5,0.9,-0.9,4.9e-04
0.25,1.0,0.1694,4.4,-6.2,1.0,-1.0,3.3e-04
0.5,1.0,0.1133,5.0,-7.1,1.0,-1.0,2.2e-04
0.75,1.0,0.08059,5.7,-7.6,1.0,-1.0,1.5e-04
1.0,1.0,0.07096,4.1,-6.7,1.0,-1.0,1.3e-04
1.25,1.0,0.0839,2.3,-4.6,1.0,-1.0,1.6e-04
1.5,1.0,0.1199,1.2,-2.9,0.9,-0.9,2.3e-04
2.0,1.0,0.2602,1.0,-3.6,0.9,-0.9,4.3e-04
3.0,1.0,0.8210,0.8,-3.7,0.9,-0.9,1.6e-03
-3.0,1.5,3.845,2.6,-3.2,0.9,-0.9,6.8e-03
-2.0,1.5,2.371,2.5,-3.6,0.9,-0.9,4.1e-03
-1.5,1.5,1.784,2.7,-3.9,0.9,-0.9,3.0e-03
-1.25,1.5,1.518,2.8,-3.9,0.9,-0.9,2.9e-03
-1.0,1.5,1.287,3.0,-4.3,0.9,-0.9,2.2e-03
-0.75,1.5,1.067,3.1,-4.4,0.9,-0.9,1.8e-03
-0.5,1.5,0.8744,3.4,-4.7,0.9,-0.9,1.5e-03
-0.25,1.5,0.7029,3.6,-5.0,0.9,-0.9,1.4e-03
0.0,1.5,0.5577,3.8,-5.4,0.9,-0.9,1.0e-03
0.25,1.5,0.4365,4.2,-6.1,0.9,-0.9,8.9e-04
0.5,1.5,0.3343,4.6,-6.5,1.0,-1.0,6.4e-04
0.75,1.5,0.2558,5.2,-7.2,1.0,-1.0,4.5e-04
1.0,1.5,0.2003,5.7,-7.6,1.0,-1.0,3.1e-04
1.25,1.5,0.1689,5.5,-7.5,1.0,-1.0,3.0e-04
1.5,1.5,0.1594,4.1,-6.7,1.0,-1.0,3.2e-04
2.0,1.5,0.2105,2.0,-3.9,0.9,-0.9,3.8e-04
3.0,1.5,0.5889,0.9,-3.7,0.9,-0.9,1.2e-03
-3.0,0.5,2.260,1.9,-2.7,0.9,-0.9,4.0e-03
-2.0,0.5,1.160,2.0,-2.9,0.9,-0.9,2.4e-03
-1.5,0.5,0.7478,2.1,-3.1,0.9,-0.9,1.3e-03
-1.25,0.5,0.5726,2.1,-3.0,0.9,-0.9,1.1e-03
-1.0,0.5,0.4273,2.3,-3.3,0.9,-0.9,7.5e-04
-0.75,0.5,0.2999,2.5,-3.5,0.9,-0.9,4.8e-04
-0.5,0.5,0.1982,2.8,-3.9,0.9,-0.9,3.5e-04
-0.25,0.5,0.1189,3.1,-4.6,0.9,-0.9,2.6e-04
0.0,0.5,0.06223,3.8,-5.6,0.9,-0.9,1.1e-04
0.25,0.5,0.02830,5.0,-7.1,1.0,-1.0,5.4e-05
0.5,0.5,0.01778,4.2,-6.7,1.0,-1.0,3.3e-05
0.75,0.5,0.03008,1.4,-2.9,0.9,-0.9,5.7e-05
1.0,0.5,0.06550,1.0,-3.6,0.9,-0.9,1.2e-04
1.25,0.5,0.1241,0.9,-3.7,0.9,-0.9,2.1e-04
1.5,0.5,0.2047,0.8,-3.7,0.9,-0.9,3.7e-04
2.0,0.5,0.4358,1.0,-3.6,0.9,-0.9,7.6e-04
3.0,0.5,1.177,1.2,-3.2,0.9,-0.9,2.2e-03
-3.0,0.75,2.612,2.0,-2.9,0.9,-0.9,4.2e-03
-2.0,0.75,1.420,2.2,-3.2,0.9,-0.9,2.6e-03
-1.5,0.75,0.9561,2.3,-3.2,0.9,-0.9,1.7e-03
-1.25,0.75,0.7659,2.5,-3.4,0.9,-0.9,1.3e-03
-1.0,0.75,0.5928,2.4,-3.6,0.9,-0.9,1.0e-03
-0.75,0.75,0.4452,2.7,-3.9,0.9,-0.9,7.5e-04
-0.5,0.75,0.3215,3.0,-4.2,0.9,-0.9,5.8e-04
-0.25,0.75,0.2192,3.4,-4.8,0.9,-0.9,4.7e-04
0.0,0.75,0.1398,3.8,-5.5,0.9,-0.9,2.6e-04
0.25,0.75,0.08355,4.5,-6.6,1.0,-1.0,1.6e-04
0.5,0.75,0.05018,5.9,-7.6,1.0,-1.0,9.0e-05
0.75,0.75,0.03996,4.3,-6.8,1.0,-1.0,7.1e-05
1.0,0.75,0.05253,2.0,-3.9,0.9,-0.9,1.0e-04
1.25,0.75,0.08846,1.0,-2.8,0.9,-0.9,1.7e-04
1.5,0.75,0.1470,1.0,-3.7,0.9,-0.9,2.7e-04
2.0,0.75,0.3334,0.9,-3.9,0.9,-0.9,5.5e-04
3.0,0.75,0.9829,0.9,-3.5,0.9,-0.9,1.8e-03
-3.0,1.25,3.397,2.2,-3.2,0.9,-0.9,6.0e-03
-2.0,1.25,2.031,2.5,-3.6,0.9,-0.9,4.1e-03
-1.5,1.25,1.475,2.7,-3.7,0.9,-0.9,2.8e-03
-1.25,1.25,1.236,2.7,-3.9,0.9,-0.9,2.2e-03
-1.0,1.25,1.024,2.9,-4.2,0.9,-0.9,1.8e-03
-0.75,1.25,0.8309,3.1,-4.3,0.9,-0.9,1.6e-03
-0.5,1.25,0.6613,3.3,-4.6,0.9,-0.9,1.2e-03
-0.25,1.25,0.5111,3.5,-5.0,0.9,-0.9,9.6e-04
0.0,1.25,0.3885,3.9,-5.3,0.9,-0.9,7.6e-04
0.25,1.25,0.2866,4.3,-6.1,1.0,-1.0,5.3e-04
0.5,1.25,0.2088,4.6,-6.9,1.0,-1.0,4.0e-04
0.75,1.25,0.1527,5.6,-7.5,1.0,-1.0,2.6e-04
1.0,1.25,0.1203,5.5,-7.5,1.0,-1.0,2.2e-04
1.25,1.25,0.1110,4.3,-6.8,1.0,-1.0,2.0e-04
1.5,1.25,0.1240,2.8,-5.0,1.3,-1.3,2.6e-04
2.0,1.25,0.2205,1.0,-2.5,0.9,-0.9,4.0e-04
3.0,1.25,0.6853,1.0,-4.1,0.9,-0.9,1.3e-03
