cf,bli,xsec,bla,blu,lo,lbo,ab
-3.0,1.0,2.991,2.1,-3.1,0.9,-0.9,4.8e-03
-2.0,1.0,1.706,2.6,-3.2,0.9,-0.9,2.9e-03
-1.5,1.0,1.205,2.5,-3.6,0.9,-0.9,2.3e-03
-1.25,1.0,0.9869,2.6,-3.4,0.9,-0.9,1.9e-03
-1.0,1.0,0.7927,2.7,-3.9,0.9,-0.9,1.4e-03
-0.75,1.0,0.6212,2.9,-4.1,0.9,-0.9,1.1e-03
-0.5,1.0,0.4723,3.2,-4.4,0.9,-0.9,9.1e-04
-0.25,1.0,0.3505,3.5,-5.0,0.9,-0.9,6.1e-04
0.0,1.0,0.2482,3.9,-5.5,0.9,-0.9,4.9e-04
0.25,1.0,0.1694,4.4,-6.2,1.0,-1.0,3.3e-04
0.5,1.0,0.1133,5.0,-7.1,1.0,-1.0,2.2e-04
0.75,1.0,0.08059,5.7,-7.6,1.0,-1.0,1.5e-04
1.0,1.0,0.07096,4.1,-6.7,1.0,-1.0,1.3e-04
1.25,1.0,0.0839,2.3,-4.6,1.0,-1.0,1.6e-04
1.5,1.0,0.1199,1.2,-2.9,0.9,-0.9,2.3e-04
2.0,1.0,0.2602,1.0,-3.6,0.9,-0.9,4.3e-04
3.0,1.0,0.8210,0.8,-3.7,0.9,-0.9,1.6e-03
