cf,cv,xsec,scaleup,scaledn,pdfup,pdfdn,tot
-3.0,1.0,0.6409,2.3,-2.7,3.8,-3.8,1.4e-03
-2.0,1.0,0.3458,2.2,-2.5,3.8,-3.8,7.2e-04
-1.5,1.0,0.2353,2.1,-2.2,3.9,-3.9,4.9e-04
-1.25,1.0,0.1876,2.0,-2.0,3.9,-3.9,4.0e-04
-1.0,1.0,0.1472,2.0,-1.8,3.9,-3.9,3.0e-04
-0.75,1.0,0.1102,2.0,-1.7,4.0,-4.0,2.3e-04
-0.5,1.0,0.07979,1.7,-1.4,4.0,-4.0,1.6e-04
-0.25,1.0,0.05518,1.6,-1.1,4.0,-4.0,1.1e-04
0.0,1.0,0.03581,1.5,-1.2,3.9,-3.9,7.6e-05
0.25,1.0,0.02226,1.6,-1.5,3.8,-3.8,4.5e-05
0.5,1.0,0.01444,2.1,-2.0,3.5,-3.5,3.0e-05
0.75,1.0,0.01222,3.2,-3.9,2.9,-2.9,2.6e-05
1.0,1.0,0.01561,4.6,-6.1,2.7,-2.7,3.4e-05
1.25,1.0,0.02481,4.8,-5.4,2.8,-2.8,5.4e-05
1.5,1.0,0.03935,4.6,-6.3,3.0,-3.9,8.3e-05
2.0,1.0,0.08605,4.0,-5.5,3.2,-3.2,1.8e-04
3.0,1.0,0.2465,3.3,-4.6,3.4,-3.4,5.2e-04
-3.0,1.5,0.7825,2.1,-2.3,3.8,-3.8,1.7e-03
-2.0,1.5,0.4574,2.1,-2.1,3.9,-3.9,9.7e-04
-1.5,1.5,0.3290,1.9,-1.8,3.9,-3.9,6.8e-04
-1.25,1.5,0.2749,1.9,-1.6,3.9,-3.9,5.7e-04
-1.0,1.5,0.2244,1.9,-1.5,3.9,-3.9,4.2e-04
-0.75,1.5,0.1799,1.8,-1.3,4.0,-4.0,3.8e-04
-0.5,1.5,0.1410,1.6,-1.2,4.0,-4.0,3.0e-04
-0.25,1.5,0.1081,1.6,-1.2,4.0,-4.0,2.2e-04
0.0,1.5,0.08056,1.5,-1.2,3.9,-3.9,1.7e-04
0.25,1.5,0.05893,1.5,-1.4,3.9,-3.9,1.3e-04
0.5,1.5,0.04277,1.8,-1.7,3.8,-3.8,9.1e-05
0.75,1.5,0.03263,2.1,-2.0,3.5,-3.5,6.9e-05
1.0,1.5,0.02768,2.8,-3.0,3.1,-3.1,5.8e-05
1.25,1.5,0.02864,3.6,-4.7,2.8,-2.8,6.4e-05
1.5,1.5,0.03509,4.6,-6.0,2.7,-2.7,7.9e-05
2.0,1.5,0.06515,4.8,-6.5,2.8,-2.8,1.4e-04
3.0,1.5,0.1930,4.0,-5.6,3.2,-3.2,4.1e-04
-3.0,0.5,0.5136,2.3,-3.0,3.7,-3.7,1.1e-03
-2.0,0.5,0.2547,2.3,-2.8,3.8,-3.8,5.4e-04
-1.5,0.5,0.1591,2.3,-2.8,3.8,-3.8,3.4e-04
-1.25,0.5,0.1204,2.2,-2.5,3.8,-3.8,2.5e-04
-1.0,0.5,0.08696,2.1,-2.3,3.9,-3.9,1.8e-04
-0.75,0.5,0.05885,2.0,-2.1,3.9,-3.9,1.3e-04
-0.5,0.5,0.03658,1.9,-1.8,3.9,-3.9,7.7e-05
-0.25,0.5,0.01996,1.8,-1.3,4.0,-4.0,4.1e-05
0.0,0.5,0.008986,1.6,-1.3,4.0,-4.0,1.9e-05
0.25,0.5,0.003608,2.1,-2.0,3.5,-3.5,7.4e-06
0.5,0.5,0.003902,4.6,-6.1,2.7,-2.7,8.6e-06
0.75,0.5,0.009854,4.7,-6.3,3.0,-3.0,2.1e-05
1.0,0.5,0.02145,4.0,-5.5,3.2,-3.2,4.9e-05
1.25,0.5,0.03848,3.7,-5.2,3.3,-3.3,7.9e-05
1.5,0.5,0.06136,3.5,-4.9,3.4,-3.4,1.3e-04
2.0,0.5,0.1246,3.0,-4.3,3.5,-3.5,2.7e-04
3.0,0.5,0.3172,2.8,-4.0,3.5,-3.5,6.9e-04
-3.0,0.75,0.5729,2.3,-2.8,3.8,-3.8,1.2e-03
