cf,bli,xsec,bla,blu,lo,lbo,lab
-3.0,1.0,0.6409,2.3,-2.7,3.8,-3.8,1.4e-03
-2.0,1.0,0.3458,2.2,-2.5,3.8,-3.8,7.2e-04
-1.5,1.0,0.2353,2.1,-2.2,3.9,-3.9,4.9e-04
-1.25,1.0,0.1876,2.0,-2.0,3.9,-3.9,4.0e-04
-1.0,1.0,0.1472,2.0,-1.8,3.9,-3.9,3.0e-04
-0.75,1.0,0.1102,2.0,-1.7,4.0,-4.0,2.3e-04
-0.5,1.0,0.07979,1.7,-1.4,4.0,-4.0,1.6e-04
-0.25,1.0,0.05518,1.6,-1.1,4.0,-4.0,1.1e-04
0.0,1.0,0.03581,1.5,-1.2,3.9,-3.9,7.6e-05
0.25,1.0,0.02226,1.6,-1.5,3.8,-3.8,4.5e-05
0.5,1.0,0.01444,2.1,-2.0,3.5,-3.5,3.0e-05
0.75,1.0,0.01222,3.2,-3.9,2.9,-2.9,2.6e-05
1.0,1.0,0.01561,4.6,-6.1,2.7,-2.7,3.4e-05
1.25,1.0,0.02481,4.8,-5.4,2.8,-2.8,5.4e-05
1.5,1.0,0.03935,4.6,-6.3,3.0,-3.9,8.3e-05
2.0,1.0,0.08605,4.0,-5.5,3.2,-3.2,1.8e-04
3.0,1.0,0.2465,3.3,-4.6,3.4,-3.4,5.2e-04
